vgeneration,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
12,Agent_11-Agent_35,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,21,6
12,Agent_12-Agent_36,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,21,6
12,Agent_13-Agent_37,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,21,6
12,Agent_14-Agent_38,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,21,6
12,Agent_15-Agent_39,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,21,6
12,Agent_16-Agent_40,D-D,1-1,Contrite Tit-for-Tat: mirroring opponent's last move,Suspicious Tit-for-Tat: mirroring opponent's move,7,2
12,Agent_9-Agent_41,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,6
12,Agent_10-Agent_42,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,6
12,Agent_11-Agent_43,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,6
12,Agent_12-Agent_44,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,24,6
12,Agent_13-Agent_45,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,24,6
12,Agent_14-Agent_46,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,6
12,Agent_15-Agent_47,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,24,6
12,Agent_16-Agent_48,D-D,1-1,Contrite Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,8,2
12,Agent_9-Agent_49,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,27,6
12,Agent_10-Agent_50,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,27,6
12,Agent_11-Agent_51,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,6
12,Agent_12-Agent_52,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Always Cooperate strategy,27,6
12,Agent_13-Agent_53,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,27,6
12,Agent_14-Agent_54,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,6
12,Agent_15-Agent_55,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,27,6
12,Agent_16-Agent_56,D-D,1-1,Contrite Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,9,2
12,Agent_9-Agent_57,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,6
12,Agent_10-Agent_58,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,6
12,Agent_11-Agent_59,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,30,6
12,Agent_12-Agent_60,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,30,6
12,Agent_13-Agent_61,C-C,3-3,Always Cooperate strategy,Tit-for-Tat: mirroring opponent's last move,30,6
12,Agent_14-Agent_62,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,30,6
12,Agent_15-Agent_63,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,30,6
12,Agent_16-Agent_64,D-D,1-1,Contrite Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,10,2
12,Agent_17-Agent_1,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,9,33
12,Agent_18-Agent_2,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,9,33
12,Agent_19-Agent_3,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,9,33
12,Agent_20-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,9,33
12,Agent_21-Agent_5,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,9,33
12,Agent_22-Agent_6,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,9,33
12,Agent_23-Agent_7,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,9,33
12,Agent_24-Agent_8,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Grim Trigger: defecting after observed defection,3,11
12,Agent_17-Agent_9,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,12,33
12,Agent_18-Agent_10,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,12,33
12,Agent_19-Agent_11,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,12,33
12,Agent_20-Agent_12,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,12,33
12,Agent_21-Agent_13,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,12,33
12,Agent_22-Agent_14,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,12,33
12,Agent_23-Agent_15,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,12,33
12,Agent_24-Agent_16,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,4,11
12,Agent_17-Agent_17,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,18
12,Agent_18-Agent_18,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,18,18
12,Agent_19-Agent_19,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,18,18
12,Agent_20-Agent_20,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,18
12,Agent_21-Agent_21,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,18
12,Agent_22-Agent_22,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,18
12,Agent_23-Agent_23,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,18
12,Agent_24-Agent_24,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,6,6
12,Agent_17-Agent_25,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,21,9
12,Agent_18-Agent_26,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,21,9
12,Agent_19-Agent_27,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,21,9
12,Agent_20-Agent_28,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,21,9
12,Agent_21-Agent_29,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,21,9
12,Agent_22-Agent_30,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,21,9
12,Agent_23-Agent_31,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Contrite Tit-for-Tat: mirroring opponent's last move,21,9
12,Agent_24-Agent_32,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,7,3
12,Agent_17-Agent_33,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,9
12,Agent_18-Agent_34,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,24,9
12,Agent_19-Agent_35,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,24,9
12,Agent_20-Agent_36,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,9
12,Agent_21-Agent_37,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,24,9
12,Agent_22-Agent_38,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,9
12,Agent_23-Agent_39,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,9
12,Agent_24-Agent_40,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Suspicious Tit-for-Tat: mirroring opponent's move,8,3
12,Agent_17-Agent_41,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,9
12,Agent_18-Agent_42,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,27,9
12,Agent_19-Agent_43,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,27,9
12,Agent_20-Agent_44,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,27,9
12,Agent_21-Agent_45,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,9
12,Agent_22-Agent_46,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,9
12,Agent_23-Agent_47,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,27,9
12,Agent_24-Agent_48,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,9,3
12,Agent_17-Agent_49,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,30,9
12,Agent_18-Agent_50,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,30,9
12,Agent_19-Agent_51,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,30,9
12,Agent_20-Agent_52,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,30,9
12,Agent_21-Agent_53,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,9
12,Agent_22-Agent_54,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,9
12,Agent_23-Agent_55,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,9
12,Agent_24-Agent_56,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,10,3
12,Agent_17-Agent_57,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,9
12,Agent_18-Agent_58,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,33,9
12,Agent_19-Agent_59,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,33,9
12,Agent_20-Agent_60,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,9
12,Agent_21-Agent_61,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,33,9
12,Agent_22-Agent_62,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,33,9
12,Agent_23-Agent_63,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,9
12,Agent_24-Agent_64,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,11,3
12,Agent_25-Agent_1,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,12,36
12,Agent_26-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,12,36
12,Agent_27-Agent_3,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,12,36
12,Agent_28-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,12,36
12,Agent_29-Agent_5,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,12,36
12,Agent_30-Agent_6,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,12,36
12,Agent_31-Agent_7,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,12,36
12,Agent_32-Agent_8,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Grim Trigger: defecting after observed defection,4,12
12,Agent_25-Agent_9,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,15,36
12,Agent_26-Agent_10,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,15,36
12,Agent_27-Agent_11,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,15,36
12,Agent_28-Agent_12,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,15,36
12,Agent_29-Agent_13,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Always Cooperate strategy,15,36
12,Agent_30-Agent_14,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,15,36
12,Agent_31-Agent_15,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,15,36
12,Agent_32-Agent_16,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,5,12
12,Agent_25-Agent_17,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,36
12,Agent_26-Agent_18,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,18,36
12,Agent_27-Agent_19,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,18,36
12,Agent_28-Agent_20,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,36
12,Agent_29-Agent_21,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,18,36
12,Agent_30-Agent_22,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,36
12,Agent_31-Agent_23,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,18,36
12,Agent_32-Agent_24,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,6,12
12,Agent_25-Agent_25,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,24
12,Agent_26-Agent_26,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,24
12,Agent_27-Agent_27,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,24,24
12,Agent_28-Agent_28,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,24
12,Agent_29-Agent_29,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,24,24
12,Agent_30-Agent_30,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,24
12,Agent_31-Agent_31,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,24,24
12,Agent_32-Agent_32,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,8,8
12,Agent_25-Agent_33,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,12
12,Agent_26-Agent_34,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,12
12,Agent_27-Agent_35,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,27,12
12,Agent_28-Agent_36,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,12
12,Agent_29-Agent_37,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Always Cooperate strategy,27,12
12,Agent_30-Agent_38,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,27,12
12,Agent_31-Agent_39,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,27,12
12,Agent_32-Agent_40,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Suspicious Tit-for-Tat: mirroring opponent's move,9,4
12,Agent_25-Agent_41,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,12
12,Agent_26-Agent_42,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,12
12,Agent_27-Agent_43,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,30,12
12,Agent_28-Agent_44,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,30,12
12,Agent_29-Agent_45,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,30,12
12,Agent_30-Agent_46,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,12
12,Agent_31-Agent_47,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,30,12
12,Agent_32-Agent_48,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,10,4
12,Agent_25-Agent_49,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,33,12
12,Agent_26-Agent_50,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,33,12
12,Agent_27-Agent_51,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,33,12
12,Agent_28-Agent_52,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,33,12
12,Agent_29-Agent_53,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,33,12
12,Agent_30-Agent_54,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,12
12,Agent_31-Agent_55,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,33,12
12,Agent_32-Agent_56,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,11,4
12,Agent_25-Agent_57,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,12
12,Agent_26-Agent_58,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,12
12,Agent_27-Agent_59,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,36,12
12,Agent_28-Agent_60,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,12
12,Agent_29-Agent_61,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,36,12
12,Agent_30-Agent_62,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,36,12
12,Agent_31-Agent_63,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,36,12
12,Agent_32-Agent_64,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,12,4
12,Agent_33-Agent_1,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,15,39
12,Agent_34-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,15,39
12,Agent_35-Agent_3,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,15,39
12,Agent_36-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,15,39
12,Agent_37-Agent_5,C-C,3-3,Always Cooperate strategy,Tit-for-Tat: mirroring opponent's last move,15,39
12,Agent_38-Agent_6,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,15,39
12,Agent_39-Agent_7,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,15,39
12,Agent_40-Agent_8,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Grim Trigger: defecting after observed defection,5,13
12,Agent_33-Agent_9,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,39
12,Agent_34-Agent_10,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,39
12,Agent_35-Agent_11,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,39
12,Agent_36-Agent_12,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,18,39
12,Agent_37-Agent_13,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,18,39
12,Agent_38-Agent_14,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,18,39
12,Agent_39-Agent_15,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,18,39
12,Agent_40-Agent_16,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Contrite Tit-for-Tat: mirroring opponent's last move,6,13
12,Agent_33-Agent_17,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,21,39
12,Agent_34-Agent_18,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,21,39
12,Agent_35-Agent_19,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,21,39
12,Agent_36-Agent_20,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,21,39
12,Agent_37-Agent_21,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,21,39
12,Agent_38-Agent_22,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,21,39
12,Agent_39-Agent_23,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,21,39
12,Agent_40-Agent_24,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Tit-for-Tat: mirroring opponent's last move,7,13
12,Agent_33-Agent_25,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,39
12,Agent_34-Agent_26,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,39
12,Agent_35-Agent_27,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,24,39
12,Agent_36-Agent_28,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,39
12,Agent_37-Agent_29,C-C,3-3,Always Cooperate strategy,Tit-for-Tat: mirroring opponent's last move,24,39
12,Agent_38-Agent_30,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,24,39
12,Agent_39-Agent_31,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Contrite Tit-for-Tat: mirroring opponent's last move,24,39
12,Agent_40-Agent_32,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Tit-for-Tat: mirroring opponent's last move,8,13
12,Agent_33-Agent_33,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,30
12,Agent_34-Agent_34,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,30
12,Agent_35-Agent_35,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,30
12,Agent_36-Agent_36,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,30
12,Agent_37-Agent_37,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,30,30
12,Agent_38-Agent_38,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,30
12,Agent_39-Agent_39,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,30,30
12,Agent_40-Agent_40,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,10,10
12,Agent_33-Agent_41,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,15
12,Agent_34-Agent_42,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,15
12,Agent_35-Agent_43,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,15
12,Agent_36-Agent_44,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,33,15
12,Agent_37-Agent_45,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,33,15
12,Agent_38-Agent_46,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,33,15
12,Agent_39-Agent_47,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,33,15
12,Agent_40-Agent_48,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Always Defect strategy,11,5
12,Agent_33-Agent_49,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,36,15
12,Agent_34-Agent_50,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,36,15
12,Agent_35-Agent_51,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,15
12,Agent_36-Agent_52,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,36,15
12,Agent_37-Agent_53,C-C,3-3,Always Cooperate strategy,Generous Tit-for-Tat: mirroring last move,36,15
12,Agent_38-Agent_54,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,15
12,Agent_39-Agent_55,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,36,15
12,Agent_40-Agent_56,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Always Defect strategy,12,5
12,Agent_33-Agent_57,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,39,15
