Generation,Pair,Actions,Payoffs,Strategy_A,Strategy_B,Reasoning_A,Reasoning_B,Score_A,Score_B
16,Agent_3-Agent_1,C-D,0-5,"{'strategy_rules': ['Start with cooperation.', 'If the opponent cooperated in the last two rounds, cooperate.', 'If the opponent defected and the overall cooperation rate of the opponent is above 50%, cooperate.', 'If the opponent defected in the previous round and the previous response was defection, switch to cooperation with a probability equal to the forgiveness factor.', ""If the opponent's defection rate exceeds the retaliation threshold, defect in the next round.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.6, 'adaptability': 0.7, 'rationale': ""This strategy is designed to build trust by initially cooperating and maintaining cooperation if the opponent shows a tendency to cooperate. The forgiveness factor allows occasional errors or defections to be overlooked, promoting long-term cooperation despite minor conflicts. The retaliation threshold ensures that consistent negative behavior from the opponent is met with appropriate responses, promoting a balance between forgiving minor transgressions and defending against exploitation. Adaptability allows the strategy to adjust based on the opponent's behavior patterns, dynamically balancing between cooperation and defection.""}","{'strategy_rules': ['If the opponent cooperated in the last round, cooperate in this round.', 'If the opponent defected in the last round and the overall defection rate of the opponent is less than the retaliation_threshold, cooperate.', 'If the opponent defected in the last two consecutive rounds, defect in this round.', 'If the current defection proportion by the opponent exceeds the retaliation_threshold, defect until the opponent cooperates twice consecutively.', 'If a defection occurs from the opponent which is likely a mistake (i.e., surrounded by cooperative moves), forgive and cooperate if randomness < forgiveness_factor.'], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy aims to build a long-term cooperative relationship unless consistently provoked. It incorporates forgiveness for potential errors and adapts its responses based on the opponent's overall behavior, balancing between cooperation and necessary defection.""}",Tit-for-Tat: starting with cooperation,Random: choosing action at random,0,5
16,Agent_1-Agent_4,C-C,3-3,"{'strategy_rules': ['If the opponent cooperated in the last round, cooperate.', ""If the opponent defected in the last round, check the total defection rate; if it's below retaliation_threshold, cooperate; otherwise, defect."", 'If an unexpected defection occurs (i.e., random or mistaken action predicted as cooperation), apply forgiveness_factor to decide on cooperation.', ""Adjust future responses based on the opponent's most common action in the last 10 rounds.""], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.4, 'adaptability': 0.7, 'rationale': ""This strategy builds long-term relationships by primarily cooperating but incorporates a mechanism to handle errors (forgiveness) and adapt to the opponent's behavior. The adaptability allows the strategy to evolve based on the game's progress, ensuring a balance between cooperation and necessary defection.""}","{'strategy_rules': [""If opponent's last move was cooperation, then cooperate."", ""If opponent's last move was defection and my last move was cooperation, retaliate once."", 'If opponent defects twice consecutively, defect until opponent cooperates twice consecutively.', 'After opponent cooperates twice consecutively following a defection period, reset behavior to initial state.'], 'forgiveness_factor': 0.7, 'retaliation_threshold': 0.5, 'adaptability': 0.6, 'rationale': ""This strategy promotes long-term relationship building by defaulting to cooperation but includes a mechanism for retaliation to deter consistent defection. The error correction mechanism resets behavior after observing two consecutive cooperations from the opponent, allowing for recovery from possible misjudgments or errors. The adaptability score allows for moderate flexibility in response to the opponent's behavior.""}",Generous Tit-for-Tat: default cooperation,Grim Trigger: continuing cooperation,3,3
16,Agent_0-Agent_2,C-C,3-3,"{'strategy_rules': ['Start with Cooperation', 'If the opponent cooperates, cooperate in the next round.', 'If the opponent defects, cooperate with a probability equal to the forgiveness factor.', 'Increase defection probability by 10% for each subsequent defection by the opponent, until it reaches the retaliation threshold.', 'If the total cooperation rate of the opponent from all previous rounds exceeds the adaptability factor, reset defection probability to base forgiveness level.'], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.8, 'adaptability': 0.5, 'rationale': ""This strategy aims to build trust by initially cooperating but incorporates a mechanism to adapt based on the opponent's behavior. It allows for error correction by providing a chance to return to cooperation based on a forgiveness factor, encouraging restoration of cooperation even after defections. The adaptability factor ensures the strategy does not become excessively punitive, enabling the re-establishment of cooperation if the opponent's overall cooperation rate is reasonable.""}","{'strategy_rules': ['Start with cooperation.', 'If the opponent cooperates, continue cooperating.', 'If the opponent defects, cooperate again if the total past cooperation rate of the opponent exceeds retaliation_threshold.', 'If defected against twice in a row, defect once.', 'If opponent defects more than retaliation_threshold percent of the time over the last 10 rounds, switch to defect for the next 3 rounds.', 'After defecting, if the opponent cooperates for three successive rounds, resume cooperation.', 'If a defecting pattern from the opponent is detected twice, increase the defection frequency by 10% until the cooperation rate improves.'], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy promotes long-term relationships through initial cooperation and forgiving occasional defections, while also incorporating mechanisms to detect and respond to consistent uncooperative behavior. Adaptability allows for adjusting the strategy based on the opponent's behavior, promoting resilience in a dynamic environment.""}",Generous Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: mirroring opponent's last move,3,3
16,Agent_2-Agent_4,C-C,3-3,"{'strategy_rules': ['If opponent has cooperated more than 50% of the time, cooperate', 'If opponent has defected three times in a row, defect', 'If opponent returns to cooperation after our defection, cooperate and reset defection count', ""If error is detected in communication (e.g., misunderstanding opponent's move), revert to the move pattern from 5 turns before the error"", ""If opponent's defection rate increases beyond 50% over last 10 turns, increase defection gradually"", 'If opponent responds to defection with cooperation twice, switch back to cooperation'], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy aims to build a long-term cooperative relationship while maintaining the ability to adapt and respond to shifts in the opponent's strategy. It incorporates error correction to deal with potential misunderstandings or misplays, and uses forgiveness to encourage re-establishment of cooperation but allows for strategic defection when necessary.""}","{'strategy_rules': ['If first round, cooperate.', 'If opponent cooperated in the previous turn, cooperate.', 'If opponent defected in the previous turn, defect.', ""If opponent's defection rate is below 20%, treat a defection as a possible error and cooperate."", ""If opponent's defection rate exceeds retaliation threshold, defect irrespective of previous action."", ""If total cooperation rate exceeds 80%, occasionally defect (5% of the time) to test opponent's response."", 'If opponent defects after your defection, increase cooperation gradually if their overall cooperation rate is still high.'], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.3, 'adaptability': 0.7, 'rationale': ""The strategy aims to build strong long-term relations through consistent cooperation while allowing for error correction and adapting to the opponent's behavior. It balances trust and caution, optimizing responses based on the opponent’s pattern, and strategically defects to gauge and recalibrate according to the game dynamics.""}",Generous Tit-for-Tat: default cooperation,Grim Trigger: continuing cooperation,3,3
16,Agent_3-Agent_3,C-C,3-3,"{'strategy_rules': ['If the total number of rounds is known, start by cooperating for the first 10% of the rounds to establish trust.', 'If the opponent defects more than 50% in the last 10 rounds, increase defection probability by 20%.', 'If errors are detected (i.e., unexpected defections in a pattern of cooperation), attribute the first error per 20 rounds to noise and cooperate in the next round.', 'If the opponent cooperates for 5 consecutive rounds anytime after the initial 10% period, reset defection probability to initial state and cooperate.', 'Employ a tit-for-tat strategy with forgiveness after detecting 2 consecutive defections; forgive once and cooperate in the next round.', ""Adjust strategy based on opponent's most common response in the last 5 rounds, increasing cooperation if opponent is mostly cooperative, and vice versa.""], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This approach focuses on fostering long-term relations through initial cooperation, adapting to the opponent's actions, and incorporating error forgiveness to mitigate potential noise in decision-making. The strategy is designed to balance between cooperation and defection based on the opponent's behavior, with mechanisms to respond adaptively to changes and to potentially negative actions through calculated forgiveness and retaliation policies.""}","{'strategy_rules': [""If opponent's last move was cooperation, then cooperate."", ""If opponent's last move was defection and current defection ratio is less than retaliation_threshold, then cooperate."", ""If opponent's last move was defection and current defection ratio is greater than retaliation_threshold, then defect."", 'If own last move resulted in a lower payoff than expected, adjust expected payoff according to forgiveness_factor.'], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.3, 'adaptability': 0.7, 'rationale': ""This strategy builds long-term relationships through initial cooperation and forgiveness for occasional defections. It features adaptive responses based on the opponent's defection ratio, allowing for both cooperation and defection. The forgiveness factor allows the strategy to recover from misunderstandings or errors in judgment.""}",Grim Trigger: continuing cooperation,Tit-for-Tat: mirroring opponent's last move,3,3
17,Agent_4-Agent_1,C-C,3-3,"{'strategy_rules': ['Start with cooperation.', 'If the opponent cooperates twice in a row, continue cooperating.', 'If the opponent defects twice in a row, retaliate with two defections.', 'If an occasional defection is followed by cooperation, respond with cooperation (error correction).', 'If the rate of defection exceeds the retaliation threshold, switch to defecting until the opponent cooperates twice consecutively.', 'If cooperation is higher than the retaliation threshold, reset behaviour to initial cooperative stance.'], 'forgiveness_factor': 0.35, 'retaliation_threshold': 0.5, 'adaptability': 0.75, 'rationale': ""This strategy aims to build trust through initial and continuous cooperation but adapts by introducing penalties for consistent negative behavior. The forgiveness factor allows for error correction, recognizing that occasional defections might be errors. The strategy’s adaptability ensures flexibility based on the opponent's behavior, promoting a balanced approach between trust and caution.""}","{'strategy_rules': ['If the opponent cooperated in the last round, cooperate.', ""If the opponent defected in the last round, check the total defection rate; if it's below retaliation_threshold, cooperate; otherwise, defect."", 'If an unexpected defection occurs (i.e., random or mistaken action predicted as cooperation), apply forgiveness_factor to decide on cooperation.', ""Adjust future responses based on the opponent's most common action in the last 10 rounds.""], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.4, 'adaptability': 0.7, 'rationale': ""This strategy builds long-term relationships by primarily cooperating but incorporates a mechanism to handle errors (forgiveness) and adapt to the opponent's behavior. The adaptability allows the strategy to evolve based on the game's progress, ensuring a balance between cooperation and necessary defection.""}",Tit-for-Tat: starting with cooperation,Generous Tit-for-Tat: mirroring last move,3,3
17,Agent_0-Agent_4,C-C,3-3,"{'strategy_rules': ['Start with Cooperation', 'If the opponent cooperates, cooperate in the next round.', 'If the opponent defects, cooperate with a probability equal to the forgiveness factor.', 'Increase defection probability by 10% for each subsequent defection by the opponent, until it reaches the retaliation threshold.', 'If the total cooperation rate of the opponent from all previous rounds exceeds the adaptability factor, reset defection probability to base forgiveness level.'], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.8, 'adaptability': 0.5, 'rationale': ""This strategy aims to build trust by initially cooperating but incorporates a mechanism to adapt based on the opponent's behavior. It allows for error correction by providing a chance to return to cooperation based on a forgiveness factor, encouraging restoration of cooperation even after defections. The adaptability factor ensures the strategy does not become excessively punitive, enabling the re-establishment of cooperation if the opponent's overall cooperation rate is reasonable.""}","{'strategy_rules': [""If opponent's last move was cooperation, then cooperate."", ""If opponent's last move was defection and my last move was cooperation, retaliate once."", 'If opponent defects twice consecutively, defect until opponent cooperates twice consecutively.', 'After opponent cooperates twice consecutively following a defection period, reset behavior to initial state.'], 'forgiveness_factor': 0.7, 'retaliation_threshold': 0.5, 'adaptability': 0.6, 'rationale': ""This strategy promotes long-term relationship building by defaulting to cooperation but includes a mechanism for retaliation to deter consistent defection. The error correction mechanism resets behavior after observing two consecutive cooperations from the opponent, allowing for recovery from possible misjudgments or errors. The adaptability score allows for moderate flexibility in response to the opponent's behavior.""}",Generous Tit-for-Tat: mirroring last move,Grim Trigger: continuing cooperation,3,3
17,Agent_2-Agent_3,C-C,3-3,"{'strategy_rules': ['If the opponent cooperated in the last two rounds, cooperate.', 'If the opponent defected in the last round but cooperated in the previous rounds greater than 70% of the time, cooperate with a probability of forgiveness_factor.', 'If the opponent defected in the last round and the overall cooperation rate is below retaliation_threshold, defect.', 'If the last round resulted in mutual defection, defect unless our past cooperation rate exceeds 80%, then cooperate.', ""If errors are detected in the opponent's pattern (i.e., random choices or contradictions to a stable strategy), alternate cooperation and defection based on adaptability rate.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.2, 'rationale': ""This strategy aims to build a long-term relationship by rewarding cooperation and maintaining a flexible response to defections. It incorporates error correction by adjusting to perceived randomness or strategy shifts in the opponent's actions. Forgiveness and adaptability allow recovery from potential misunderstandings or shifts in the game dynamics while keeping a cautious stance against exploitation.""}","{'strategy_rules': [""If opponent's last move was cooperation, cooperate"", ""If opponent's last move was defection and total defections by opponent are less than retaliation_threshold of total rounds, cooperate"", ""If opponent's last move was defection and total defections by opponent are equal to or greater than retaliation_threshold of total rounds, defect"", ""If own last move was defection due to opponent's previous defection, and opponent cooperates, cooperate with probability equal to forgiveness_factor"", ""Adjust strategy based on opponent's cooperation rate every 10 rounds; Increase cooperation if cooperation rate is above adaptability, and increase defection if below""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.2, 'adaptability': 0.5, 'rationale': 'This strategy builds long-term relationships by prioritizing cooperation but allows for defection to discourage exploitation. The forgiveness factor provides a mechanism to recover from errors or misjudgments, encouraging re-establishment of cooperation if the opponent returns to cooperative behavior. The adaptability aspect allows the strategy to modify its behavior based on the opponent’s overall cooperation level, ensuring a balanced approach between competition and collaboration.'}",Always Cooperate strategy,Contrite Tit-for-Tat: default cooperation,3,3
17,Agent_0-Agent_1,C-C,3-3,"{'strategy_rules': ['Start with cooperation', 'If opponent cooperates, repeat last move', 'If opponent defects once, cooperate with probability equal to forgiveness_factor', 'If opponent defects twice in a row, defect once', 'If current round is after 50% of total rounds, increase cooperation rate if total defections by opponent are less than retaliation_threshold percent of total moves', 'Adapt strategy every ten rounds based on opponent’s last ten moves, increasing cooperation if opponent cooperated 70% or more during this period'], 'forgiveness_factor': 0.6, 'retaliation_threshold': 0.2, 'adaptability': 0.7, 'rationale': 'This strategy aims to build long-term relationships by starting cooperative and adjusting based on opponent behavior. Forgiveness allows recovery from errors or temptations to defect, while adaptability adjusts responses based on changing patterns of interaction. Retaliation is limited to encourage ongoing cooperation unless the opponent frequently defects.'}","{'strategy_rules': ['If opponent cooperates 90% of the times in the last 10 rounds, cooperate', 'If opponent defects 2 consecutive times, defect once', 'If opponent defects due to apparent error (one defect in a pattern of cooperation), cooperate to reestablish trust', ""If opponent's cooperation rate drops below 50% over last 10 rounds and has defected after we cooperated, increase defection proportionally"", ""Use the history of the last 20 rounds to calculate opponent's cooperation rate and adjust own cooperation rate accordingly""], 'forgiveness_factor': 0.7, 'retaliation_threshold': 0.5, 'adaptability': 0.8, 'rationale': ""This strategy builds long-term relationships by rewarding cooperation and correcting for possible errors, but adapts dynamically to the opponent's changing behavior. A high forgiveness factor encourages rebuilding trust after defections, which could be errors. The retaliation threshold ensures that the strategy defends against consistent defection without being overly punitive, allowing for strategic shifts based on the opponent's behavior. The adaptability factor allows the strategy to modify its behavior based on comprehensive recent interaction history, aiming for a balance between cooperation and defection.""}",Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,3,3
17,Agent_1-Agent_2,C-C,3-3,"{'strategy_rules': ['If the opponent cooperated in the last round, cooperate in this round.', 'If the opponent defected in the last round and the overall defection rate of the opponent is less than the retaliation_threshold, cooperate.', 'If the opponent defected in the last two consecutive rounds, defect in this round.', 'If the current defection proportion by the opponent exceeds the retaliation_threshold, defect until the opponent cooperates twice consecutively.', 'If a defection occurs from the opponent which is likely a mistake (i.e., surrounded by cooperative moves), forgive and cooperate if randomness < forgiveness_factor.'], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy aims to build a long-term cooperative relationship unless consistently provoked. It incorporates forgiveness for potential errors and adapts its responses based on the opponent's overall behavior, balancing between cooperation and necessary defection.""}","{'strategy_rules': ['Start with cooperation.', 'If the opponent cooperates, continue cooperating.', 'If the opponent defects, cooperate again if the total past cooperation rate of the opponent exceeds retaliation_threshold.', 'If defected against twice in a row, defect once.', 'If opponent defects more than retaliation_threshold percent of the time over the last 10 rounds, switch to defect for the next 3 rounds.', 'After defecting, if the opponent cooperates for three successive rounds, resume cooperation.', 'If a defecting pattern from the opponent is detected twice, increase the defection frequency by 10% until the cooperation rate improves.'], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.7, 'rationale': ""This strategy promotes long-term relationships through initial cooperation and forgiving occasional defections, while also incorporating mechanisms to detect and respond to consistent uncooperative behavior. Adaptability allows for adjusting the strategy based on the opponent's behavior, promoting resilience in a dynamic environment.""}",Random: choosing action at random,Contrite Tit-for-Tat: mirroring opponent's last move,3,3
18,Agent_2-Agent_0,C-C,3-3,"{'strategy_rules': [""If opponent's cooperation rate >= 0.8, cooperate"", ""If opponent's defection rate > retaliation_threshold, defect"", 'If last round was error (i.e., unexpected move based on pattern), use last valid pattern action', ""If sudden shift in opponent's pattern (more than 2 consecutive unexpected moves), adapt by alternating between cooperation and defection for next 3 rounds""], 'forgiveness_factor': 0.4, 'retaliation_threshold': 0.6, 'adaptability': 0.7, 'rationale': 'The strategy aims to build long-term cooperation by rewarding consistent cooperative behavior, but it also guards against exploitation through adaptive retaliation. Forgiveness allows recovery from errors or misunderstandings, enhancing resilience and stability in the relationship.'}","{'strategy_rules': ['If opponent cooperates, cooperate.', 'If opponent defects, defect next move unless total cooperation rate of opponent exceeds retaliation threshold.', 'If accidental defection is detected, increase cooperation for the next three moves.', 'Adjust cooperation and defection rates based on ongoing win-loss ratio.'], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.6, 'adaptability': 0.8, 'rationale': 'This strategy aims to build a long-term cooperative relationship but remains adaptable and capable of defending against consistent defection. Forgiveness allows recovery from errors and misunderstandings, promoting stability and trust.'}","Win-Stay, Lose-Shift: default cooperation",Generous Tit-for-Tat: default cooperation,3,3
18,Agent_4-Agent_1,C-C,3-3,"{'strategy_rules': ['Start with cooperation.', 'If the opponent cooperates twice in a row, continue cooperating.', 'If the opponent defects twice in a row, retaliate with two defections.', 'If an occasional defection is followed by cooperation, respond with cooperation (error correction).', 'If the rate of defection exceeds the retaliation threshold, switch to defecting until the opponent cooperates twice consecutively.', 'If cooperation is higher than the retaliation threshold, reset behaviour to initial cooperative stance.'], 'forgiveness_factor': 0.35, 'retaliation_threshold': 0.5, 'adaptability': 0.75, 'rationale': ""This strategy aims to build trust through initial and continuous cooperation but adapts by introducing penalties for consistent negative behavior. The forgiveness factor allows for error correction, recognizing that occasional defections might be errors. The strategy’s adaptability ensures flexibility based on the opponent's behavior, promoting a balanced approach between trust and caution.""}","{'strategy_rules': ['If opponent cooperated in the last round, cooperate.', 'If opponent defected in the last round and total defections by opponent are less than retaliation_threshold, cooperate.', 'If opponent defected in the last round and total defections by opponent are more than retaliation_threshold, defect.', 'If in the last 10 rounds, errors (unexpected defections after cooperation rounds) are greater than 20% of the times, decrease forgiveness_factor by 0.1.', 'If in the last 10 rounds, rate of cooperation after my defection is above 80%, increase forgiveness_factor by 0.1.'], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.4, 'adaptability': 0.5, 'rationale': ""This strategy aims to build a long-term relationship through initial cooperation and forgiveness for sporadic defections, but incorporates a mechanism to adapt to the opponent's overall behavior pattern by adjusting the forgiveness factor based on the error rate and opponent's response to defection. It ensures flexibility to shift between cooperation and defection based on opponent's accumulated behavior, allowing for a balanced approach between punitive measures and reconciliation efforts.""}",Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: starting with cooperation,3,3
18,Agent_0-Agent_3,C-C,3-3,"{'strategy_rules': ['Start with Cooperation', 'If the opponent cooperates, cooperate in the next round.', 'If the opponent defects, cooperate with a probability equal to the forgiveness factor.', 'Increase defection probability by 10% for each subsequent defection by the opponent, until it reaches the retaliation threshold.', 'If the total cooperation rate of the opponent from all previous rounds exceeds the adaptability factor, reset defection probability to base forgiveness level.'], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.8, 'adaptability': 0.5, 'rationale': ""This strategy aims to build trust by initially cooperating but incorporates a mechanism to adapt based on the opponent's behavior. It allows for error correction by providing a chance to return to cooperation based on a forgiveness factor, encouraging restoration of cooperation even after defections. The adaptability factor ensures the strategy does not become excessively punitive, enabling the re-establishment of cooperation if the opponent's overall cooperation rate is reasonable.""}","{'strategy_rules': [""If opponent's last move was cooperation, cooperate."", ""If opponent's last move was defection and overall cooperation rate is above 70%, cooperate once."", ""If opponent's last move was defection and overall cooperation rate is below 70%, defect."", 'If an unexpected defection occurs, defect in the next round but return to cooperation if the opponent cooperates twice consecutively.', ""Adjust strategy based on opponent's last 10 moves: increase cooperation if opponent's cooperation is above 80%; otherwise, match opponent's cooperation rate.""], 'forgiveness_factor': 0.65, 'retaliation_threshold': 0.3, 'adaptability': 0.8, 'rationale': ""This strategy builds long-term relationships by rewarding cooperation and maintaining a forgiving stance towards occasional defections, with a mechanism that adapts to the opponent's recent behavior patterns to optimize outcomes.""}",Generous Tit-for-Tat: mirroring last move,Contrite Tit-for-Tat: default cooperation,3,3
18,Agent_4-Agent_4,C-C,3-3,"{'strategy_rules': [""If opponent's last move was cooperation, then cooperate."", ""If opponent's last move was defection and my last move was cooperation, retaliate once."", 'If opponent defects twice consecutively, defect until opponent cooperates twice consecutively.', 'After opponent cooperates twice consecutively following a defection period, reset behavior to initial state.'], 'forgiveness_factor': 0.7, 'retaliation_threshold': 0.5, 'adaptability': 0.6, 'rationale': ""This strategy promotes long-term relationship building by defaulting to cooperation but includes a mechanism for retaliation to deter consistent defection. The error correction mechanism resets behavior after observing two consecutive cooperations from the opponent, allowing for recovery from possible misjudgments or errors. The adaptability score allows for moderate flexibility in response to the opponent's behavior.""}","{'strategy_rules': ['If the opponent cooperates for the first 3 rounds, continue to cooperate.', 'If the opponent defects, count the number of defections and total rounds. Cooperate if defections are less than 20% of total rounds.', 'If defections exceed 20% of total rounds, retaliate with defection until the opponent cooperates twice consecutively.', ""If an error is detected in opponent's usual pattern (e.g., sudden uncharacteristic defection after a long cooperation), revert to cooperation after one retaliation, to account for possible mistakes."", ""If opponent's defections are high but sporadic, alternate between cooperation and defection unpredictably to confuse and test opponent's response pattern.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.2, 'adaptability': 0.7, 'rationale': ""This strategy aims to build long-term relationships through initial cooperation and maintaining a cooperative approach if the opponent's defections are minimal. It incorporates error correction by allowing for reversion to cooperation following potential anomalies in the opponent's behavior. The adaptability feature allows the strategy to adjust based on the opponent's overall pattern, striking a balance between cooperation for relationship building and defection for self-protection and signaling.""}",Grim Trigger: continuing cooperation,"Win-Stay, Lose-Shift: default cooperation",3,3
18,Agent_1-Agent_2,C-C,3-3,"{'strategy_rules': ['If the opponent cooperated in the last round, cooperate.', ""If the opponent defected in the last round, check the total defection rate; if it's below retaliation_threshold, cooperate; otherwise, defect."", 'If an unexpected defection occurs (i.e., random or mistaken action predicted as cooperation), apply forgiveness_factor to decide on cooperation.', ""Adjust future responses based on the opponent's most common action in the last 10 rounds.""], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.4, 'adaptability': 0.7, 'rationale': ""This strategy builds long-term relationships by primarily cooperating but incorporates a mechanism to handle errors (forgiveness) and adapt to the opponent's behavior. The adaptability allows the strategy to evolve based on the game's progress, ensuring a balance between cooperation and necessary defection.""}","{'strategy_rules': ['If the opponent cooperated in the last two rounds, cooperate.', 'If the opponent defected in the last round but cooperated in the previous rounds greater than 70% of the time, cooperate with a probability of forgiveness_factor.', 'If the opponent defected in the last round and the overall cooperation rate is below retaliation_threshold, defect.', 'If the last round resulted in mutual defection, defect unless our past cooperation rate exceeds 80%, then cooperate.', ""If errors are detected in the opponent's pattern (i.e., random choices or contradictions to a stable strategy), alternate cooperation and defection based on adaptability rate.""], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.5, 'adaptability': 0.2, 'rationale': ""This strategy aims to build a long-term relationship by rewarding cooperation and maintaining a flexible response to defections. It incorporates error correction by adjusting to perceived randomness or strategy shifts in the opponent's actions. Forgiveness and adaptability allow recovery from potential misunderstandings or shifts in the game dynamics while keeping a cautious stance against exploitation.""}",Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,3,3
19,Agent_3-Agent_2,C-C,3-3,"{'strategy_rules': ['If opponent defects more than the retaliation_threshold, retaliate with defect on next move', ""If opponent's last move was defect but total defections are below retaliation_threshold, cooperate if random < forgiveness_factor"", 'If opponent cooperates, cooperate in next round', 'Increase defection likelihood if winning by more than 10% after 50% of the game rounds are over', 'Decrease defection likelihood if losing by more than 10% after 50% of the game rounds are over', ""Adjust strategies based on opponent's most frequent action over the last 10 rounds""], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.3, 'adaptability': 0.5, 'rationale': ""This strategy facilitates long-term partnership by initially being cooperative but incorporates a threshold mechanism to retaliate when faced with frequent defections, thus discouraging consistent exploitation. The forgiveness factor allows the strategy to recover from potential misinterpretations of sporadic defections, taking into account errors. Adaptability allows the strategy to modify its actions based on the opponent's recent behaviors, optimizing responses for individual opponent strategies.""}","{'strategy_rules': [""If opponent's cooperation rate >= 0.8, cooperate"", ""If opponent's defection rate > retaliation_threshold, defect"", 'If last round was error (i.e., unexpected move based on pattern), use last valid pattern action', ""If sudden shift in opponent's pattern (more than 2 consecutive unexpected moves), adapt by alternating between cooperation and defection for next 3 rounds""], 'forgiveness_factor': 0.4, 'retaliation_threshold': 0.6, 'adaptability': 0.7, 'rationale': 'The strategy aims to build long-term cooperation by rewarding consistent cooperative behavior, but it also guards against exploitation through adaptive retaliation. Forgiveness allows recovery from errors or misunderstandings, enhancing resilience and stability in the relationship.'}",Random: choosing action at random,"Win-Stay, Lose-Shift: repeating successful move",3,3
19,Agent_4-Agent_0,D-C,5-0,"{'strategy_rules': ['Start with cooperation', 'If opponent cooperates, repeat my last action', 'If opponent defects, check my history of the last 5 rounds', 'If defections > 3 in the last 5 rounds, defect', 'If defections <= 3 in the last 5 rounds, cooperate with probability equal to forgiveness_factor', 'Adjust strategy based on winning margin; if winning by more than 10%, increase retaliation_threshold by 10%', 'If losing by more than 10%, increase forgiveness_factor by 10% and decrease retaliation_threshold by 10%'], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.4, 'adaptability': 0.5, 'rationale': ""This strategy aims to foster long-term cooperation but is robust against consistent defection. It includes error correction by adjusting to the opponent's recent actions and adapts based on overall game success, balancing between forgiveness and retaliation to optimize outcomes.""}","{'strategy_rules': ['If opponent cooperates, cooperate.', 'If opponent defects, defect next move unless total cooperation rate of opponent exceeds retaliation threshold.', 'If accidental defection is detected, increase cooperation for the next three moves.', 'Adjust cooperation and defection rates based on ongoing win-loss ratio.'], 'forgiveness_factor': 0.3, 'retaliation_threshold': 0.6, 'adaptability': 0.8, 'rationale': 'This strategy aims to build a long-term cooperative relationship but remains adaptable and capable of defending against consistent defection. Forgiveness allows recovery from errors and misunderstandings, promoting stability and trust.'}",Random: choosing action at random,Generous Tit-for-Tat: mirroring last move,5,0
19,Agent_2-Agent_0,C-C,3-3,"{'strategy_rules': ['Start by cooperating', 'If opponent cooperates back, continue cooperating', 'If opponent defects, cooperate with probability equal to forgiveness_factor to allow for error correction', 'Increase defection probability if defections by opponent exceed retaliation_threshold percentage of the total interactions', ""Adjust strategies based on opponent's most frequent recent actions, increasing cooperation if opponent cooperates more often and vice versa""], 'forgiveness_factor': 0.25, 'retaliation_threshold': 0.5, 'adaptability': 0.75, 'rationale': ""This strategy aims to build trust initially through cooperation, allows for occasional errors via forgiveness, adapts based on opponent's behavior, and strategically defects to prevent exploitation.""}","{'strategy_rules': ['Start with Cooperation', 'If the opponent cooperates, cooperate in the next round.', 'If the opponent defects, cooperate with a probability equal to the forgiveness factor.', 'Increase defection probability by 10% for each subsequent defection by the opponent, until it reaches the retaliation threshold.', 'If the total cooperation rate of the opponent from all previous rounds exceeds the adaptability factor, reset defection probability to base forgiveness level.'], 'forgiveness_factor': 0.2, 'retaliation_threshold': 0.8, 'adaptability': 0.5, 'rationale': ""This strategy aims to build trust by initially cooperating but incorporates a mechanism to adapt based on the opponent's behavior. It allows for error correction by providing a chance to return to cooperation based on a forgiveness factor, encouraging restoration of cooperation even after defections. The adaptability factor ensures the strategy does not become excessively punitive, enabling the re-establishment of cooperation if the opponent's overall cooperation rate is reasonable.""}",Generous Tit-for-Tat: default cooperation,Generous Tit-for-Tat: mirroring last move,3,3
